sex,age,H1,F1,I1,A1,P1,Z1,H2,F2,I2,A2,P2,H3,F3,I3,A3,P3,H4,F4,I4,A4,P4,Z2,H5,F5,I5,A5,P5,H6,F6,I6,A6,P6
male,70,2,3,1,2,1,0,1,3,2,1,1,2,1,1,1,0,3,3,3,2,1,5,2,3,2,2,2,2,2,3,4,1
female,19,4,4,3,3,2,0,2,5,1,1,1,3,2,1,4,0,4,4,5,4,2,5,5,2,2,0,2,4,1,2,3,0
male,24,3,3,3,4,4,2,3,3,5,2,5,5,5,2,4,0,5,5,5,5,5,5,5,5,5,3,3,5,1,5,2,0
female,23,3,5,0,3,5,1,3,5,3,2,2,4,5,3,3,1,3,3,2,4,0,5,1,2,1,3,1,4,0,2,3,1
male,22,3,3,1,1,1,1,3,2,3,1,2,4,4,4,3,0,3,5,3,3,2,4,5,3,2,4,2,4,1,1,2,2
male,58,3,2,1,1,1,1,1,1,1,0,0,4,0,0,3,0,5,3,1,0,0,5,0,4,4,0,0,0,0,0,5,3
male,18,3,3,1,2,4,2,3,3,3,1,1,3,4,3,2,0,4,5,2,3,2,5,3,3,3,3,2,3,4,3,4,1
male,26,5,5,5,2,1,3,4,4,3,3,2,4,5,2,3,0,3,4,4,3,1,4,5,3,2,1,1,4,2,2,3,2
female,20,5,4,3,4,4,1,5,5,3,3,3,5,5,5,5,5,5,5,4,4,3,5,4,5,4,5,5,5,3,5,4,3
female,20,4,4,2,3,3,1,5,5,4,2,5,5,4,4,3,0,5,5,3,4,4,5,5,4,3,2,1,4,3,1,3,0
female,17,4,3,1,4,4,0,2,3,3,3,3,3,4,2,2,0,4,4,4,5,4,4,5,4,3,3,2,1,0,4,4,1
female,54,1,4,4,1,4,0,4,5,3,3,2,4,4,1,1,0,2,5,3,1,4,5,2,5,3,0,1,2,3,2,1,1
female,56,3,3,1,2,3,0,2,3,3,3,2,4,4,3,5,0,3,2,4,5,1,5,3,3,3,3,3,3,2,2,4,4
female,85,3,4,2,4,4,1,4,4,4,4,5,4,3,3,4,2,4,5,5,5,5,5,4,3,4,2,3,4,2,4,4,3
female,29,3,4,2,2,4,1,4,5,1,1,3,3,4,2,3,3,1,5,1,4,1,5,4,3,4,4,3,3,3,1,1,5
male,67,3,3,4,3,3,0,3,4,4,2,3,4,5,3,4,1,3,5,4,4,4,5,3,5,2,4,1,5,2,3,3,1
male,34,4,3,0,0,0,0,4,3,2,2,0,4,4,2,4,0,3,3,3,2,1,5,2,3,3,2,0,0,5,2,3,0
male,26,4,5,1,5,5,0,4,5,4,3,2,3,5,2,2,0,2,4,3,5,1,5,5,4,4,3,2,0,3,1,3,1
NA,NA,5,4,1,1,3,0,3,5,4,4,1,4,5,0,2,0,4,5,3,3,3,5,5,4,1,1,2,4,2,1,5,1
female,21,4,4,3,2,2,0,4,4,5,3,3,5,5,5,4,3,5,5,3,3,1,5,5,5,4,3,3,5,2,2,3,1
female,22,4,4,1,2,2,0,2,2,3,2,4,5,5,3,3,1,4,5,3,5,4,5,5,5,2,2,1,5,0,1,1,1
male,17,4,4,0,0,1,0,4,3,2,0,1,3,5,1,2,0,3,5,0,0,1,3,4,3,0,1,0,4,4,2,3,0
male,20,4,4,3,3,4,2,3,3,3,2,4,4,4,3,4,1,4,3,4,2,3,4,3,3,3,2,2,2,2,3,2,1
male,25,3,3,4,3,4,3,3,3,4,4,3,3,3,4,3,2,4,5,0,5,3,3,4,2,3,5,5,0,3,5,0,0
female,21,3,5,4,5,1,0,4,5,3,3,0,5,5,4,3,4,2,5,3,5,3,5,4,4,2,2,2,4,5,3,3,1
female,29,2,3,4,3,4,2,3,5,3,2,3,3,4,3,3,2,5,5,5,3,2,5,5,4,2,1,0,4,4,3,1,3
female,21,4,5,3,4,3,1,5,4,4,3,2,5,5,3,4,0,4,5,4,1,4,4,5,5,4,4,0,5,4,5,0,0
male,23,5,4,1,4,4,3,5,5,4,3,4,4,5,5,5,2,5,5,3,4,3,5,4,4,2,1,3,5,4,4,3,2
male,33,1,2,0,0,0,0,3,5,0,3,1,4,5,5,2,0,2,5,4,5,0,5,0,3,4,0,0,0,5,0,3,0
male,27,2,3,2,4,4,0,2,3,2,2,3,3,3,3,3,0,1,3,3,3,3,4,2,3,3,3,3,4,4,4,4,4
female,70,3,4,4,4,5,2,4,5,4,1,5,4,4,4,4,2,5,5,0,5,5,5,4,5,2,1,5,5,1,1,4,4
male,27,5,5,1,5,5,4,5,4,4,0,0,2,4,4,4,0,4,5,0,0,4,4,5,4,0,0,0,5,3,0,5,2
female,25,1,5,0,0,2,0,4,5,2,1,3,5,5,1,2,0,2,5,3,3,2,3,5,4,1,3,0,2,2,3,0,0
female,20,3,4,0,0,0,0,4,5,0,0,0,4,5,0,2,0,5,4,0,0,0,5,4,4,4,1,0,2,5,3,0,0
female,18,4,4,0,1,1,0,3,5,4,1,3,5,5,2,4,0,4,5,0,3,2,5,4,4,2,0,0,5,5,2,2,0
female,57,5,5,3,4,4,0,5,5,3,4,4,5,5,3,4,1,5,5,4,5,5,5,0,5,2,4,3,5,3,3,4,1
female,20,5,4,2,4,4,1,4,4,4,3,3,5,5,4,4,3,4,4,4,4,2,5,2,4,5,1,3,1,0,2,4,4
female,22,4,5,4,5,5,0,4,5,5,3,5,5,4,5,5,0,3,5,5,5,1,5,5,4,5,5,4,5,0,4,5,3
female,21,3,3,3,4,4,1,3,4,2,3,2,4,4,2,5,0,5,4,1,4,3,5,5,3,3,0,2,4,3,2,3,0
female,22,5,5,5,3,4,2,5,4,4,3,4,5,5,5,4,3,0,5,3,4,4,5,4,5,4,5,4,4,5,4,4,2
male,69,4,5,2,3,4,0,4,4,3,3,1,4,5,3,3,0,3,4,1,4,2,5,4,4,3,1,0,1,2,3,4,0
male,27,4,4,2,3,4,3,4,4,4,1,2,4,5,3,1,0,3,4,2,1,1,5,5,4,4,3,2,4,3,1,0,2
female,45,3,3,0,0,3,0,1,3,1,0,2,5,5,0,2,0,5,5,3,2,3,5,5,5,0,0,0,5,5,2,2,0
female,33,3,0,1,1,1,0,3,1,0,3,3,0,0,3,1,3,4,5,1,3,5,5,4,4,2,0,2,5,1,3,0,2
female,20,4,4,1,3,3,3,4,4,2,1,1,4,4,2,3,2,3,3,0,2,2,4,1,4,1,2,2,1,2,2,4,1
male,22,4,4,0,2,4,2,3,3,3,0,3,4,4,4,2,0,3,5,0,3,3,5,2,2,2,1,0,5,4,4,2,0
male,99,2,2,1,1,1,1,1,4,2,1,1,4,4,2,4,0,3,3,2,2,1,5,3,3,2,1,0,1,1,2,1,0
female,20,3,3,1,2,3,0,2,5,4,1,1,4,4,2,5,0,3,5,5,5,2,4,1,4,2,3,1,1,1,1,5,0
female,58,3,3,3,3,5,2,2,4,4,3,3,5,5,3,3,1,4,4,4,4,4,5,1,4,2,0,0,5,5,1,4,1
female,24,2,4,1,3,4,0,2,4,4,2,4,5,5,3,3,0,3,4,3,4,1,5,4,3,4,1,0,5,1,1,1,2
female,18,5,4,0,1,1,0,5,4,2,2,3,5,5,3,4,0,3,4,0,0,2,5,5,2,0,0,1,5,2,1,2,0
male,19,3,3,2,3,4,0,4,4,2,1,1,4,3,4,3,5,5,5,5,5,3,5,0,4,3,5,4,3,4,4,2,5
female,22,4,4,3,4,3,1,3,3,3,2,3,4,4,3,3,1,4,5,1,3,3,4,3,4,2,1,3,4,3,2,3,0
male,25,4,5,3,5,4,4,5,1,3,2,3,2,5,1,0,1,5,5,5,5,4,5,2,1,4,1,1,5,1,4,2,1
male,20,3,4,0,2,1,0,3,4,2,5,2,4,5,3,3,0,3,5,0,1,0,5,2,3,2,2,0,5,0,2,0,0
male,56,4,4,4,4,1,1,4,4,4,2,1,4,4,2,2,1,5,5,3,4,3,3,4,4,4,4,4,4,4,4,3,4
female,22,4,4,3,3,2,2,2,4,5,3,5,4,5,3,5,3,3,5,1,4,3,5,2,4,5,2,3,3,3,3,4,3
female,24,4,3,2,4,2,1,3,3,3,2,1,4,4,2,3,0,3,5,3,4,2,5,3,4,3,0,2,4,3,3,4,1
female,25,3,3,1,2,1,0,3,4,2,1,1,5,4,2,3,1,3,3,1,4,0,4,3,4,3,3,1,5,4,1,2,1
female,21,5,5,3,3,4,0,5,5,4,2,1,3,4,4,2,0,5,5,4,4,1,5,5,5,3,0,2,5,1,0,3,1
female,23,4,4,4,4,5,2,5,4,4,1,2,2,4,4,4,5,4,3,5,5,3,5,0,3,0,5,5,0,3,2,5,4
female,20,4,4,1,3,3,0,4,4,4,0,4,4,5,3,4,0,3,4,3,3,4,5,1,3,2,3,2,1,2,2,3,2
female,21,3,3,1,2,3,0,3,3,3,1,3,4,4,3,1,1,3,4,3,4,4,5,3,4,4,3,3,2,3,4,3,1
male,25,3,3,0,1,2,0,2,3,3,3,2,2,2,2,2,0,2,3,1,2,3,4,3,3,3,2,2,5,4,0,0,1
male,28,4,3,4,0,0,0,4,3,5,1,2,5,2,5,4,0,3,3,5,3,2,4,5,2,5,4,1,1,2,0,3,4
male,22,2,3,3,5,4,0,0,2,2,0,4,1,4,5,5,1,1,1,5,5,5,5,3,4,5,1,1,1,1,0,5,0
female,23,4,4,4,4,4,1,4,2,4,2,1,4,3,4,4,5,4,3,5,4,2,4,3,4,3,3,3,5,1,3,3,3
female,28,5,5,2,1,0,0,4,3,3,1,1,5,5,2,2,0,4,4,4,4,1,5,5,5,1,1,0,1,5,3,3,0
female,22,4,4,0,1,3,0,4,4,1,1,1,4,5,1,1,0,4,4,1,2,1,5,3,4,0,0,0,1,3,2,1,2
female,20,4,4,0,0,5,0,5,3,1,0,2,5,5,2,3,0,5,5,3,0,3,5,4,5,4,0,0,3,5,0,0,0
male,61,4,4,1,1,1,0,3,4,2,1,2,4,4,2,2,0,4,4,2,3,1,4,5,4,3,2,0,5,5,1,3,1
female,22,4,4,3,2,1,0,2,4,3,2,4,3,3,2,2,2,2,4,4,3,4,5,4,5,3,4,1,1,2,2,4,2
male,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
female,20,5,5,1,3,2,0,4,5,2,3,3,5,5,2,4,0,4,5,3,4,3,5,4,5,3,0,3,5,1,3,4,0
male,39,1,2,0,1,1,1,2,3,2,1,2,3,4,1,2,0,3,4,0,1,2,4,4,3,1,2,1,1,4,1,2,1
male,83,0,0,0,0,0,0,0,0,0,3,0,4,3,4,0,0,3,4,4,4,5,5,4,5,4,4,4,0,0,4,5,4
female,62,3,3,4,5,4,0,4,2,4,3,2,5,2,2,4,0,1,3,4,4,3,5,5,4,4,3,3,5,3,3,3,3
male,20,1,3,4,1,1,4,3,2,4,2,1,5,4,0,1,2,5,4,0,0,1,5,4,4,5,5,5,5,5,5,4,3
female,24,5,4,3,3,3,1,4,3,4,3,3,4,5,4,5,0,3,5,2,4,2,5,4,5,2,1,3,2,3,1,1,0
female,21,3,4,2,3,4,1,4,5,3,3,4,4,4,3,3,0,4,5,4,4,2,5,4,4,2,1,1,4,3,3,4,1
female,58,4,4,0,2,1,0,4,4,1,1,0,4,4,1,1,0,4,4,3,3,2,5,4,4,3,1,1,4,5,3,3,1
male,19,2,4,1,1,4,0,3,4,3,2,4,3,3,3,3,3,4,5,5,5,5,5,3,4,5,4,4,2,4,4,2,4
female,77,3,3,2,4,5,2,4,4,4,3,4,5,3,4,4,3,5,5,3,5,5,5,5,4,5,4,4,5,4,2,5,2
male,18,5,4,3,2,4,1,5,4,4,1,3,5,5,3,4,0,5,5,5,4,1,5,4,4,3,1,1,1,0,3,1,4
male,66,4,4,3,3,2,0,4,4,3,2,2,4,4,2,2,1,5,5,3,4,3,5,5,5,2,4,1,2,3,3,3,3
male,19,3,3,3,4,4,4,4,3,4,5,5,5,2,2,2,3,3,1,4,2,3,3,3,4,4,4,3,5,3,3,3,4
female,21,3,4,1,2,1,0,3,3,3,3,2,2,2,2,1,0,2,1,3,3,3,4,1,1,4,3,3,4,5,2,2,0
male,19,5,1,1,3,1,0,4,4,5,0,3,5,5,3,3,0,5,4,4,4,1,5,1,4,1,1,0,1,4,2,4,0
female,19,2,1,1,3,3,0,4,2,1,3,3,5,4,2,4,1,2,1,4,5,3,4,3,3,0,4,3,1,0,3,4,3
female,23,3,3,2,2,1,1,3,3,2,1,2,3,4,3,2,2,3,5,0,1,0,4,3,4,2,1,3,5,5,2,1,2
female,27,4,4,1,3,3,0,3,5,4,2,1,4,5,4,3,0,2,5,5,4,3,4,4,5,1,3,2,3,2,1,3,1
female,59,2,2,1,1,1,0,3,1,1,1,2,3,3,1,1,1,3,3,3,2,3,4,4,3,2,3,3,5,2,2,1,1
female,21,4,4,1,3,3,0,3,4,4,1,2,5,4,2,3,0,4,4,0,4,1,5,1,5,3,3,1,2,1,3,3,1
male,20,2,3,1,2,3,0,1,4,4,2,1,1,2,3,4,0,1,5,3,3,2,0,1,4,3,3,2,0,1,1,0,3
male,22,3,3,1,5,1,1,4,3,3,1,1,4,4,4,4,0,4,3,3,5,3,4,4,4,3,3,0,3,1,2,1,0
male,25,2,3,1,1,4,1,3,3,2,3,3,2,4,2,1,0,3,5,2,3,1,4,4,3,2,1,1,2,2,0,3,2
male,21,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
female,20,2,2,2,2,3,1,3,4,4,3,3,4,4,4,3,0,2,2,2,2,3,5,3,3,3,3,1,4,2,2,2,0
male,21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
female,18,4,4,4,4,4,1,4,4,4,4,1,4,4,4,4,1,4,4,1,3,2,3,3,3,3,3,2,2,2,3,3,0
female,22,4,4,0,2,3,1,2,4,1,1,3,4,4,2,3,0,3,3,1,3,1,5,4,3,0,2,2,1,2,1,2,0
female,22,5,1,1,5,4,1,4,3,4,4,3,5,4,3,3,0,3,5,3,5,5,5,4,5,5,0,0,2,2,2,3,3
male,23,4,4,1,2,3,0,3,3,4,0,0,3,5,2,1,0,3,3,3,3,2,4,4,4,3,1,1,1,1,1,1,1
female,25,4,5,0,2,1,0,5,5,1,0,4,5,5,1,4,0,5,5,0,3,3,5,4,1,0,0,0,4,5,1,0,0
female,20,4,4,4,4,2,1,4,4,4,2,2,3,5,3,4,3,4,3,5,4,3,5,4,3,2,1,3,5,0,2,4,0
female,66,4,5,3,4,4,0,4,5,5,4,4,5,5,4,3,5,5,4,3,4,4,5,3,5,3,3,5,0,3,2,5,4
female,24,3,5,1,5,5,1,2,5,4,3,2,5,5,2,3,0,5,5,4,4,3,5,5,4,5,0,3,4,4,2,4,3
female,20,4,4,4,4,4,1,4,4,4,4,3,4,4,3,4,3,4,4,3,5,3,5,3,5,4,3,3,5,5,5,1,4
female,68,4,4,3,4,4,1,2,4,3,2,3,4,4,2,3,2,4,5,4,4,4,5,4,5,4,2,3,5,3,3,2,2
female,19,3,3,0,3,3,0,3,3,1,0,1,3,5,3,2,0,4,5,1,4,1,5,5,4,3,4,1,4,3,1,0,0
female,53,5,5,3,3,3,1,5,5,4,3,3,5,5,4,4,0,5,4,3,3,4,5,5,5,4,1,3,4,4,3,3,0
male,21,5,5,1,3,3,1,4,5,4,2,2,5,5,3,3,0,4,5,0,2,3,5,1,5,4,0,3,5,4,4,1,0
female,17,4,4,1,3,4,0,4,4,4,3,4,4,4,4,4,0,3,5,5,5,5,5,5,5,3,4,4,3,4,1,4,0
male,79,3,3,3,3,3,1,1,3,3,4,3,4,3,4,4,1,4,4,4,4,4,5,4,5,2,3,3,5,3,4,4,4
female,20,3,4,1,3,3,0,4,3,4,0,1,4,5,0,5,0,3,5,4,3,4,5,3,4,2,2,0,5,5,4,1,0
female,22,4,4,1,3,3,0,3,4,2,1,3,4,5,1,4,1,4,5,4,4,3,5,1,5,2,3,1,4,1,4,4,1
female,22,2,4,0,0,3,0,4,4,1,3,3,5,5,1,3,0,2,3,0,3,0,5,4,3,2,0,0,1,2,3,3,1
female,23,1,4,1,0,5,1,2,5,5,0,4,1,4,4,1,0,3,5,4,0,5,5,1,4,2,0,0,0,1,1,0,5
female,35,4,5,3,2,2,2,5,5,2,1,1,3,5,2,2,0,4,5,4,3,0,5,3,5,0,0,0,4,3,0,2,0
female,19,4,3,3,1,2,1,4,4,3,2,1,4,4,3,1,2,4,5,1,3,1,5,5,5,5,5,3,5,3,3,3,2
female,18,1,4,3,3,4,2,4,5,5,1,4,4,4,3,4,4,4,5,5,5,5,5,5,5,4,3,4,5,3,1,1,3
female,26,4,3,0,4,2,0,0,3,1,2,0,5,3,0,2,0,2,3,1,5,2,5,4,4,2,4,3,3,2,3,3,1
female,17,3,3,1,4,5,1,4,4,4,3,4,5,4,4,4,0,4,4,1,3,3,5,5,4,4,4,3,4,1,3,4,0
female,18,2,4,1,1,2,0,0,3,3,2,2,4,4,1,0,0,2,4,4,4,1,5,4,3,3,5,4,4,2,3,4,4
female,18,4,4,0,4,4,0,2,4,4,4,5,5,5,5,3,0,3,3,3,4,4,5,0,5,3,0,0,0,0,5,5,0
female,22,3,2,2,3,3,0,2,4,3,1,1,2,4,3,2,1,2,3,2,4,4,5,2,3,3,2,2,2,3,2,2,2
female,24,4,5,4,3,5,3,5,5,5,1,3,4,5,3,4,3,5,5,4,4,3,5,5,5,4,1,4,5,0,2,4,5
female,20,5,5,0,5,3,0,3,5,1,1,3,5,5,1,3,4,2,4,3,3,2,4,4,4,3,3,0,0,0,0,2,1
female,56,3,3,2,1,4,1,4,4,1,2,4,4,4,1,4,0,4,4,3,4,4,5,0,4,3,3,4,3,4,3,4,2
female,65,3,3,1,4,2,0,1,3,3,3,4,5,3,3,5,4,4,4,4,5,4,5,1,4,3,4,4,3,2,0,4,4
male,59,3,4,4,3,4,1,4,5,5,3,4,5,5,4,3,1,5,5,4,4,4,5,3,5,3,3,2,2,2,1,2,0
female,24,3,4,1,2,2,1,3,3,1,1,2,3,4,1,3,1,3,5,2,3,3,3,2,4,3,3,2,3,3,3,2,2
female,23,3,2,4,2,3,1,3,2,3,3,2,4,4,3,4,0,3,4,3,4,2,4,3,4,2,3,3,4,2,2,3,1
male,60,4,4,3,2,2,1,4,3,4,2,5,5,4,2,4,1,4,3,1,2,4,5,5,4,2,1,2,5,4,2,2,1
female,27,4,3,0,1,4,0,5,3,1,0,5,5,5,4,4,0,5,4,0,1,1,5,5,1,0,0,0,5,1,0,5,0
female,23,4,4,1,1,3,2,3,4,3,2,2,5,5,4,4,1,4,4,3,3,3,4,3,4,3,1,1,3,2,2,3,2
female,20,4,4,2,4,3,3,3,4,3,2,3,3,4,3,5,3,3,3,2,3,3,5,4,5,2,2,3,3,0,2,3,3
female,18,5,5,1,2,0,0,3,5,3,0,2,5,5,2,5,0,5,5,0,3,0,5,4,5,0,0,0,5,5,2,2,0
female,49,5,5,3,3,0,3,5,5,0,0,0,5,5,0,5,0,4,5,3,4,3,5,5,5,1,0,5,5,0,0,4,0
male,20,4,4,3,1,1,0,4,3,3,1,2,3,3,3,4,1,4,4,3,1,2,4,4,4,3,1,3,0,3,4,1,0
male,59,3,4,1,1,1,0,4,5,2,1,1,4,5,3,2,0,3,4,2,1,1,4,3,4,1,3,1,4,3,1,2,1
male,22,2,3,1,2,1,0,2,3,2,1,0,3,2,2,3,0,3,4,2,3,1,5,4,2,2,1,0,1,1,3,2,0
male,27,4,3,1,3,4,0,5,4,3,2,5,5,5,3,3,3,4,4,2,4,4,5,4,4,3,3,3,4,4,2,1,3
female,20,4,4,2,4,3,1,3,4,3,3,3,5,5,3,4,1,3,5,5,4,2,5,5,4,4,0,2,5,3,0,1,1
male,23,5,4,1,1,5,0,5,5,2,1,5,5,5,2,3,0,4,5,5,3,4,5,5,3,2,3,4,5,5,3,2,0
male,21,5,5,3,3,5,1,4,5,5,1,2,5,5,4,4,1,5,4,3,3,3,5,5,4,4,1,3,3,4,1,1,2
male,18,4,4,0,1,3,1,4,4,3,0,2,4,3,1,2,1,4,5,2,3,2,2,5,5,4,1,2,1,5,4,3,3
female,22,2,2,0,2,2,0,2,4,3,3,2,4,4,4,3,0,4,3,5,3,5,5,5,4,5,0,0,4,0,0,3,0
female,21,3,4,2,3,1,1,3,3,3,3,2,3,3,2,3,1,3,4,0,2,1,4,3,3,2,0,1,5,3,3,3,0
female,86,4,5,3,3,4,1,4,5,5,2,3,5,5,4,4,0,4,5,4,4,4,5,5,5,4,3,3,5,5,2,2,3
male,20,2,2,1,3,3,0,2,3,4,1,1,4,5,2,3,0,3,2,5,4,1,4,3,3,5,4,4,0,0,2,2,0
female,63,3,5,2,2,1,0,4,4,3,2,1,5,4,3,4,0,4,4,3,3,2,5,3,4,4,2,1,5,5,2,1,1
female,18,2,4,1,1,4,1,4,4,3,3,1,4,4,2,3,0,4,4,0,2,2,3,2,3,1,1,1,2,3,3,1,1
male,26,5,5,1,3,2,0,4,4,4,0,4,5,5,4,4,0,4,4,1,1,1,5,5,4,4,1,1,4,0,1,4,0
male,37,5,4,4,4,4,3,4,5,5,3,4,4,5,4,4,3,4,4,5,4,3,5,5,5,3,4,4,4,4,4,4,4
female,44,4,4,1,1,2,1,5,4,4,2,3,5,5,3,4,0,5,5,3,3,2,4,4,5,1,2,1,2,3,2,3,1
female,22,4,4,0,3,5,0,1,5,5,3,3,5,5,4,4,0,4,4,4,4,3,5,4,4,3,0,2,1,2,1,3,0
male,21,4,3,4,3,2,1,5,3,3,4,1,5,2,2,2,0,3,4,5,4,1,4,5,5,3,3,4,0,2,0,1,1
male,28,4,5,0,0,2,0,4,4,5,3,2,5,5,3,3,0,4,4,0,1,0,5,4,1,0,0,0,0,5,4,1,0
female,20,5,5,1,2,5,3,4,5,2,2,5,5,5,3,3,1,4,4,2,2,0,5,3,2,1,1,0,3,3,3,3,0
female,18,3,4,1,1,2,0,3,5,3,1,3,4,4,2,3,0,4,5,1,2,2,5,1,4,1,0,1,5,4,1,1,0
male,22,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,4,4,3,2,5,2,3,1,3,0,1,1,2,2,1
male,23,3,3,1,3,4,0,3,4,4,2,3,4,5,3,3,1,1,4,0,5,3,4,1,2,1,4,1,0,1,4,4,0
male,18,3,3,0,4,2,0,4,3,1,0,2,4,2,1,5,0,4,1,1,4,0,5,0,0,0,3,0,0,4,1,0,0
female,18,3,4,2,3,4,1,5,5,5,2,2,5,3,5,5,5,5,4,4,4,3,5,2,5,1,2,3,2,1,2,4,5
male,19,3,3,5,3,3,0,5,5,5,2,5,5,5,5,5,0,5,1,0,0,2,5,1,5,2,0,5,0,5,0,0,0
female,25,4,4,1,1,2,1,2,4,2,2,2,4,5,3,3,0,4,4,4,1,1,5,5,5,4,1,1,5,5,2,3,1
male,63,4,4,0,1,4,0,4,4,3,1,1,4,4,1,5,0,4,5,3,3,1,5,4,4,0,1,1,0,5,3,3,0
female,59,1,2,3,0,3,0,3,4,5,2,2,4,5,4,4,0,4,5,4,2,4,5,3,5,4,4,4,4,1,1,3,1
male,21,1,2,1,2,4,1,2,2,2,1,3,4,4,1,3,0,1,5,4,3,2,4,2,3,3,0,1,4,1,2,3,3
female,56,2,4,1,2,4,1,5,4,4,3,4,4,4,3,4,0,4,5,3,4,4,5,5,4,4,0,0,1,0,2,1,1
male,20,4,4,4,3,3,0,5,4,4,3,4,4,4,3,3,3,4,4,5,3,3,5,5,5,4,4,3,3,4,2,2,3
female,64,4,4,3,1,1,0,3,4,4,2,1,4,4,2,3,0,4,5,2,2,2,5,4,5,4,3,2,5,4,2,3,0
female,21,3,3,2,2,3,0,3,3,3,3,3,3,3,3,3,0,4,4,3,4,4,4,4,4,2,2,2,5,4,4,4,2
female,23,1,4,0,0,0,0,5,5,5,0,1,5,5,2,5,0,5,5,4,1,4,5,5,4,1,0,0,5,2,1,1,4
female,37,3,3,3,3,4,3,4,4,3,3,3,4,3,3,4,3,4,5,4,5,3,5,4,5,3,3,3,5,1,1,4,2
female,29,5,5,1,3,4,0,3,3,1,2,3,5,5,1,3,0,4,5,5,3,1,5,5,2,1,3,0,5,4,1,0,0
male,48,4,4,3,4,5,0,4,4,5,0,4,5,5,3,3,1,5,5,1,5,5,5,5,5,4,0,4,5,0,2,5,0
male,30,3,4,0,0,1,0,2,5,2,1,0,3,5,0,2,0,4,5,0,3,0,4,3,4,0,0,0,4,3,1,0,0
female,56,4,4,2,2,4,0,4,5,2,2,1,5,3,2,2,5,4,5,3,2,0,5,5,5,2,3,0,1,3,1,0,2
female,61,5,4,0,1,2,0,5,4,3,0,2,5,4,2,2,4,4,5,1,1,4,5,5,4,2,3,2,2,3,1,0,2
female,20,3,4,2,3,4,3,3,4,4,2,2,3,5,3,3,1,3,4,4,4,4,5,2,4,3,4,2,5,4,2,2,2
female,70,4,4,4,5,5,3,5,4,5,4,3,5,5,4,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,4
male,18,3,3,4,3,3,0,3,3,4,4,2,2,3,2,4,4,3,4,5,4,2,4,4,4,5,4,4,5,1,5,1,3
female,69,3,4,4,3,3,1,4,4,4,3,2,4,4,3,4,0,4,5,4,5,3,5,1,4,3,4,1,5,0,4,5,3
female,65,4,4,4,2,3,0,5,4,4,3,3,5,4,3,3,3,5,5,2,2,3,5,3,4,3,0,1,1,2,2,5,0
male,22,4,4,3,2,1,0,4,4,4,1,1,4,5,1,4,0,3,5,4,3,3,5,4,4,2,3,4,2,2,3,3,1
female,51,5,5,3,2,5,0,5,4,5,2,3,5,5,3,2,0,5,5,4,4,3,5,5,4,4,5,1,3,2,0,0,0
female,70,4,4,2,4,5,0,4,4,4,4,5,5,4,3,4,0,5,5,4,4,5,5,3,5,3,2,4,4,5,3,5,2
male,71,3,4,1,0,3,0,3,4,1,0,1,3,5,0,2,0,3,4,3,0,1,5,2,4,1,0,0,1,0,2,1,0
male,22,3,3,1,2,4,0,3,4,4,0,4,5,4,1,2,0,4,5,1,4,3,5,5,5,2,0,0,2,1,0,1,0
female,20,5,5,1,1,5,0,2,4,5,1,4,5,5,3,2,1,0,4,3,3,4,5,3,4,2,3,3,5,5,3,2,4
female,77,3,5,1,3,3,3,1,1,3,2,0,4,5,1,4,2,0,2,4,4,0,4,1,4,3,2,1,5,1,0,1,0
female,26,3,3,2,3,3,1,2,3,2,2,3,3,3,2,3,2,3,4,3,4,5,5,4,4,2,1,2,4,3,4,1,1
male,27,5,5,0,0,3,0,5,5,5,0,5,5,5,5,0,0,4,5,0,0,0,5,3,3,2,0,0,0,5,1,3,0
male,44,5,3,0,0,0,0,0,3,1,0,0,5,4,2,4,0,3,5,4,1,0,5,5,1,1,0,0,2,5,1,1,0
male,29,4,5,3,3,1,2,4,4,3,3,3,5,5,4,4,0,4,5,3,4,3,4,5,4,3,0,1,5,3,2,3,0
male,25,3,2,0,4,2,0,4,3,4,2,2,4,5,2,1,0,4,4,4,4,1,4,5,3,1,3,0,0,2,3,4,2
male,27,5,3,1,3,2,0,5,5,4,1,4,4,5,4,2,0,5,3,3,4,2,5,5,4,3,1,0,3,1,1,3,0
male,22,3,3,2,2,4,1,4,3,4,2,2,5,4,4,4,0,5,5,3,3,3,5,4,4,4,3,1,1,3,2,0,1
female,24,1,1,0,0,2,0,0,2,1,0,1,2,2,1,0,0,1,5,0,1,0,3,3,5,0,0,0,0,0,0,1,0
male,23,4,4,0,0,2,0,4,4,3,1,3,4,5,2,5,0,3,1,4,1,0,5,4,4,1,2,1,1,3,1,1,0
female,20,1,2,0,2,2,0,0,3,1,0,2,3,5,2,4,1,1,4,2,4,4,5,2,3,4,1,3,4,4,1,5,2
female,78,5,5,5,4,5,1,5,5,5,3,5,5,5,4,5,1,5,5,4,5,5,5,4,4,4,4,3,5,3,3,5,3
